python /home/drr342/dl/assignments/hw3/examples/word_language_model/main.py --data /home/drr342/dl/assignments/hw3/examples/word_language_model/data/wikitext-2 --save /home/drr342/dl/assignments/hw3/models/LSTM'_'400'_'1'_'16.pt --cuda --model LSTM --epochs 10 --emsize 400 --nlayers 1 --bptt 16

/home/drr342/pyenv/py3.6.3/lib/python3.6/site-packages/torch/nn/modules/rnn.py:46: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.2 and num_layers=1
  "num_layers={}".format(dropout, num_layers))
| epoch   1 |   200/ 6526 batches | lr 20.00 | ms/batch 24.14 | loss  7.53 | ppl  1862.03
| epoch   1 |   400/ 6526 batches | lr 20.00 | ms/batch 23.42 | loss  6.65 | ppl   769.05
| epoch   1 |   600/ 6526 batches | lr 20.00 | ms/batch 23.53 | loss  6.35 | ppl   570.06
| epoch   1 |   800/ 6526 batches | lr 20.00 | ms/batch 23.53 | loss  6.19 | ppl   489.78
| epoch   1 |  1000/ 6526 batches | lr 20.00 | ms/batch 23.51 | loss  6.06 | ppl   427.15
| epoch   1 |  1200/ 6526 batches | lr 20.00 | ms/batch 23.61 | loss  5.98 | ppl   394.28
| epoch   1 |  1400/ 6526 batches | lr 20.00 | ms/batch 23.69 | loss  5.83 | ppl   338.78
| epoch   1 |  1600/ 6526 batches | lr 20.00 | ms/batch 23.74 | loss  5.81 | ppl   333.71
| epoch   1 |  1800/ 6526 batches | lr 20.00 | ms/batch 23.75 | loss  5.81 | ppl   333.54
| epoch   1 |  2000/ 6526 batches | lr 20.00 | ms/batch 23.84 | loss  5.74 | ppl   311.89
| epoch   1 |  2200/ 6526 batches | lr 20.00 | ms/batch 23.82 | loss  5.74 | ppl   310.18
| epoch   1 |  2400/ 6526 batches | lr 20.00 | ms/batch 24.05 | loss  5.69 | ppl   296.92
| epoch   1 |  2600/ 6526 batches | lr 20.00 | ms/batch 23.86 | loss  5.68 | ppl   292.56
| epoch   1 |  2800/ 6526 batches | lr 20.00 | ms/batch 23.84 | loss  5.71 | ppl   300.99
| epoch   1 |  3000/ 6526 batches | lr 20.00 | ms/batch 23.80 | loss  5.64 | ppl   282.45
| epoch   1 |  3200/ 6526 batches | lr 20.00 | ms/batch 24.01 | loss  5.62 | ppl   275.85
| epoch   1 |  3400/ 6526 batches | lr 20.00 | ms/batch 23.87 | loss  5.71 | ppl   301.15
| epoch   1 |  3600/ 6526 batches | lr 20.00 | ms/batch 24.31 | loss  5.59 | ppl   267.19
| epoch   1 |  3800/ 6526 batches | lr 20.00 | ms/batch 24.61 | loss  5.52 | ppl   249.82
| epoch   1 |  4000/ 6526 batches | lr 20.00 | ms/batch 23.98 | loss  5.54 | ppl   255.38
| epoch   1 |  4200/ 6526 batches | lr 20.00 | ms/batch 23.95 | loss  5.52 | ppl   249.79
| epoch   1 |  4400/ 6526 batches | lr 20.00 | ms/batch 23.86 | loss  5.49 | ppl   242.03
| epoch   1 |  4600/ 6526 batches | lr 20.00 | ms/batch 23.90 | loss  5.48 | ppl   239.61
| epoch   1 |  4800/ 6526 batches | lr 20.00 | ms/batch 23.93 | loss  5.39 | ppl   218.92
| epoch   1 |  5000/ 6526 batches | lr 20.00 | ms/batch 23.89 | loss  5.38 | ppl   217.72
| epoch   1 |  5200/ 6526 batches | lr 20.00 | ms/batch 23.91 | loss  5.50 | ppl   245.90
| epoch   1 |  5400/ 6526 batches | lr 20.00 | ms/batch 24.53 | loss  5.43 | ppl   228.57
| epoch   1 |  5600/ 6526 batches | lr 20.00 | ms/batch 24.73 | loss  5.45 | ppl   232.53
| epoch   1 |  5800/ 6526 batches | lr 20.00 | ms/batch 23.93 | loss  5.49 | ppl   243.20
| epoch   1 |  6000/ 6526 batches | lr 20.00 | ms/batch 23.93 | loss  5.31 | ppl   202.62
| epoch   1 |  6200/ 6526 batches | lr 20.00 | ms/batch 23.95 | loss  5.34 | ppl   208.72
| epoch   1 |  6400/ 6526 batches | lr 20.00 | ms/batch 23.90 | loss  5.31 | ppl   202.34
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 162.04s | valid loss  5.38 | valid ppl   216.33
-----------------------------------------------------------------------------------------
| epoch   2 |   200/ 6526 batches | lr 20.00 | ms/batch 24.11 | loss  5.36 | ppl   211.98
| epoch   2 |   400/ 6526 batches | lr 20.00 | ms/batch 23.96 | loss  5.34 | ppl   207.94
| epoch   2 |   600/ 6526 batches | lr 20.00 | ms/batch 23.93 | loss  5.29 | ppl   197.73
| epoch   2 |   800/ 6526 batches | lr 20.00 | ms/batch 23.97 | loss  5.38 | ppl   216.24
| epoch   2 |  1000/ 6526 batches | lr 20.00 | ms/batch 23.97 | loss  5.24 | ppl   188.36
| epoch   2 |  1200/ 6526 batches | lr 20.00 | ms/batch 23.95 | loss  5.21 | ppl   182.57
| epoch   2 |  1400/ 6526 batches | lr 20.00 | ms/batch 24.01 | loss  5.07 | ppl   159.91
| epoch   2 |  1600/ 6526 batches | lr 20.00 | ms/batch 24.02 | loss  5.17 | ppl   175.85
| epoch   2 |  1800/ 6526 batches | lr 20.00 | ms/batch 24.00 | loss  5.20 | ppl   181.70
| epoch   2 |  2000/ 6526 batches | lr 20.00 | ms/batch 24.00 | loss  5.15 | ppl   172.60
| epoch   2 |  2200/ 6526 batches | lr 20.00 | ms/batch 24.05 | loss  5.14 | ppl   170.17
| epoch   2 |  2400/ 6526 batches | lr 20.00 | ms/batch 24.00 | loss  5.12 | ppl   167.32
| epoch   2 |  2600/ 6526 batches | lr 20.00 | ms/batch 23.99 | loss  5.15 | ppl   172.56
| epoch   2 |  2800/ 6526 batches | lr 20.00 | ms/batch 24.02 | loss  5.21 | ppl   183.84
| epoch   2 |  3000/ 6526 batches | lr 20.00 | ms/batch 24.03 | loss  5.15 | ppl   172.74
| epoch   2 |  3200/ 6526 batches | lr 20.00 | ms/batch 24.03 | loss  5.15 | ppl   172.30
| epoch   2 |  3400/ 6526 batches | lr 20.00 | ms/batch 23.99 | loss  5.26 | ppl   193.05
| epoch   2 |  3600/ 6526 batches | lr 20.00 | ms/batch 24.04 | loss  5.14 | ppl   169.87
| epoch   2 |  3800/ 6526 batches | lr 20.00 | ms/batch 24.07 | loss  5.08 | ppl   161.34
| epoch   2 |  4000/ 6526 batches | lr 20.00 | ms/batch 24.00 | loss  5.13 | ppl   169.57
| epoch   2 |  4200/ 6526 batches | lr 20.00 | ms/batch 24.02 | loss  5.12 | ppl   167.50
| epoch   2 |  4400/ 6526 batches | lr 20.00 | ms/batch 24.04 | loss  5.10 | ppl   164.03
| epoch   2 |  4600/ 6526 batches | lr 20.00 | ms/batch 24.06 | loss  5.06 | ppl   157.36
| epoch   2 |  4800/ 6526 batches | lr 20.00 | ms/batch 24.02 | loss  5.00 | ppl   147.94
| epoch   2 |  5000/ 6526 batches | lr 20.00 | ms/batch 24.08 | loss  4.98 | ppl   145.70
| epoch   2 |  5200/ 6526 batches | lr 20.00 | ms/batch 24.05 | loss  5.12 | ppl   166.76
| epoch   2 |  5400/ 6526 batches | lr 20.00 | ms/batch 24.05 | loss  5.05 | ppl   155.91
| epoch   2 |  5600/ 6526 batches | lr 20.00 | ms/batch 24.03 | loss  5.08 | ppl   159.98
| epoch   2 |  5800/ 6526 batches | lr 20.00 | ms/batch 24.03 | loss  5.14 | ppl   171.28
| epoch   2 |  6000/ 6526 batches | lr 20.00 | ms/batch 24.00 | loss  4.95 | ppl   141.04
| epoch   2 |  6200/ 6526 batches | lr 20.00 | ms/batch 24.04 | loss  4.99 | ppl   146.32
| epoch   2 |  6400/ 6526 batches | lr 20.00 | ms/batch 24.07 | loss  4.96 | ppl   142.26
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 162.73s | valid loss  5.22 | valid ppl   185.44
-----------------------------------------------------------------------------------------
| epoch   3 |   200/ 6526 batches | lr 20.00 | ms/batch 24.98 | loss  5.04 | ppl   153.88
| epoch   3 |   400/ 6526 batches | lr 20.00 | ms/batch 24.81 | loss  5.04 | ppl   154.79
| epoch   3 |   600/ 6526 batches | lr 20.00 | ms/batch 24.80 | loss  5.01 | ppl   150.27
| epoch   3 |   800/ 6526 batches | lr 20.00 | ms/batch 24.81 | loss  5.09 | ppl   162.37
| epoch   3 |  1000/ 6526 batches | lr 20.00 | ms/batch 24.81 | loss  4.97 | ppl   143.70
| epoch   3 |  1200/ 6526 batches | lr 20.00 | ms/batch 24.83 | loss  4.92 | ppl   136.75
| epoch   3 |  1400/ 6526 batches | lr 20.00 | ms/batch 24.80 | loss  4.81 | ppl   123.06
| epoch   3 |  1600/ 6526 batches | lr 20.00 | ms/batch 24.85 | loss  4.91 | ppl   136.04
| epoch   3 |  1800/ 6526 batches | lr 20.00 | ms/batch 24.76 | loss  4.96 | ppl   141.89
| epoch   3 |  2000/ 6526 batches | lr 20.00 | ms/batch 24.83 | loss  4.92 | ppl   137.10
| epoch   3 |  2200/ 6526 batches | lr 20.00 | ms/batch 24.82 | loss  4.90 | ppl   134.90
| epoch   3 |  2400/ 6526 batches | lr 20.00 | ms/batch 24.88 | loss  4.90 | ppl   134.17
| epoch   3 |  2600/ 6526 batches | lr 20.00 | ms/batch 24.80 | loss  4.92 | ppl   137.36
| epoch   3 |  2800/ 6526 batches | lr 20.00 | ms/batch 24.81 | loss  5.01 | ppl   149.17
| epoch   3 |  3000/ 6526 batches | lr 20.00 | ms/batch 24.84 | loss  4.94 | ppl   139.10
| epoch   3 |  3200/ 6526 batches | lr 20.00 | ms/batch 24.80 | loss  4.93 | ppl   138.63
| epoch   3 |  3400/ 6526 batches | lr 20.00 | ms/batch 24.82 | loss  5.05 | ppl   155.59
