python /home/drr342/dl/assignments/hw3/examples/word_language_model/main.py --data /home/drr342/dl/assignments/hw3/examples/word_language_model/data/wikitext-2 --save /home/drr342/dl/assignments/hw3/models/LSTM'_'400'_'4'_'16.pt --cuda --model LSTM --epochs 10 --emsize 400 --nlayers 4 --bptt 16

| epoch   1 |   200/ 6526 batches | lr 20.00 | ms/batch 40.50 | loss  7.70 | ppl  2207.94
| epoch   1 |   400/ 6526 batches | lr 20.00 | ms/batch 39.28 | loss  7.27 | ppl  1441.26
| epoch   1 |   600/ 6526 batches | lr 20.00 | ms/batch 39.28 | loss  7.22 | ppl  1362.22
| epoch   1 |   800/ 6526 batches | lr 20.00 | ms/batch 39.25 | loss  7.15 | ppl  1278.78
| epoch   1 |  1000/ 6526 batches | lr 20.00 | ms/batch 39.32 | loss  7.06 | ppl  1166.31
| epoch   1 |  1200/ 6526 batches | lr 20.00 | ms/batch 39.35 | loss  6.79 | ppl   891.55
| epoch   1 |  1400/ 6526 batches | lr 20.00 | ms/batch 39.27 | loss  6.58 | ppl   718.53
| epoch   1 |  1600/ 6526 batches | lr 20.00 | ms/batch 39.33 | loss  6.51 | ppl   669.20
| epoch   1 |  1800/ 6526 batches | lr 20.00 | ms/batch 39.36 | loss  6.46 | ppl   640.95
| epoch   1 |  2000/ 6526 batches | lr 20.00 | ms/batch 39.34 | loss  6.36 | ppl   576.81
| epoch   1 |  2200/ 6526 batches | lr 20.00 | ms/batch 39.20 | loss  6.31 | ppl   549.39
| epoch   1 |  2400/ 6526 batches | lr 20.00 | ms/batch 39.30 | loss  6.23 | ppl   509.69
| epoch   1 |  2600/ 6526 batches | lr 20.00 | ms/batch 39.36 | loss  6.19 | ppl   486.50
| epoch   1 |  2800/ 6526 batches | lr 20.00 | ms/batch 39.35 | loss  6.14 | ppl   464.67
| epoch   1 |  3000/ 6526 batches | lr 20.00 | ms/batch 39.43 | loss  6.06 | ppl   428.21
| epoch   1 |  3200/ 6526 batches | lr 20.00 | ms/batch 39.40 | loss  6.03 | ppl   415.78
| epoch   1 |  3400/ 6526 batches | lr 20.00 | ms/batch 39.35 | loss  6.09 | ppl   440.60
| epoch   1 |  3600/ 6526 batches | lr 20.00 | ms/batch 39.36 | loss  6.00 | ppl   404.98
| epoch   1 |  3800/ 6526 batches | lr 20.00 | ms/batch 39.42 | loss  5.93 | ppl   376.98
| epoch   1 |  4000/ 6526 batches | lr 20.00 | ms/batch 39.36 | loss  5.94 | ppl   379.48
| epoch   1 |  4200/ 6526 batches | lr 20.00 | ms/batch 39.43 | loss  5.93 | ppl   375.18
| epoch   1 |  4400/ 6526 batches | lr 20.00 | ms/batch 39.39 | loss  5.87 | ppl   354.18
| epoch   1 |  4600/ 6526 batches | lr 20.00 | ms/batch 39.34 | loss  5.86 | ppl   349.64
| epoch   1 |  4800/ 6526 batches | lr 20.00 | ms/batch 39.42 | loss  5.75 | ppl   313.33
| epoch   1 |  5000/ 6526 batches | lr 20.00 | ms/batch 39.37 | loss  5.75 | ppl   313.23
| epoch   1 |  5200/ 6526 batches | lr 20.00 | ms/batch 39.34 | loss  5.82 | ppl   336.69
| epoch   1 |  5400/ 6526 batches | lr 20.00 | ms/batch 39.48 | loss  5.76 | ppl   318.56
| epoch   1 |  5600/ 6526 batches | lr 20.00 | ms/batch 39.39 | loss  5.77 | ppl   319.46
| epoch   1 |  5800/ 6526 batches | lr 20.00 | ms/batch 39.35 | loss  5.77 | ppl   319.71
| epoch   1 |  6000/ 6526 batches | lr 20.00 | ms/batch 39.52 | loss  5.61 | ppl   274.18
| epoch   1 |  6200/ 6526 batches | lr 20.00 | ms/batch 39.47 | loss  5.64 | ppl   281.47
| epoch   1 |  6400/ 6526 batches | lr 20.00 | ms/batch 39.32 | loss  5.59 | ppl   267.74
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 265.67s | valid loss  5.65 | valid ppl   285.05
-----------------------------------------------------------------------------------------
| epoch   2 |   200/ 6526 batches | lr 20.00 | ms/batch 39.57 | loss  5.64 | ppl   280.91
| epoch   2 |   400/ 6526 batches | lr 20.00 | ms/batch 39.31 | loss  5.64 | ppl   281.67
| epoch   2 |   600/ 6526 batches | lr 20.00 | ms/batch 39.23 | loss  5.62 | ppl   276.69
| epoch   2 |   800/ 6526 batches | lr 20.00 | ms/batch 39.29 | loss  5.68 | ppl   293.37
| epoch   2 |  1000/ 6526 batches | lr 20.00 | ms/batch 39.32 | loss  5.57 | ppl   262.17
| epoch   2 |  1200/ 6526 batches | lr 20.00 | ms/batch 39.40 | loss  5.52 | ppl   250.36
| epoch   2 |  1400/ 6526 batches | lr 20.00 | ms/batch 39.44 | loss  5.40 | ppl   220.92
| epoch   2 |  1600/ 6526 batches | lr 20.00 | ms/batch 39.36 | loss  5.48 | ppl   240.47
| epoch   2 |  1800/ 6526 batches | lr 20.00 | ms/batch 39.43 | loss  5.52 | ppl   250.84
| epoch   2 |  2000/ 6526 batches | lr 20.00 | ms/batch 39.40 | loss  5.49 | ppl   241.15
| epoch   2 |  2200/ 6526 batches | lr 20.00 | ms/batch 39.47 | loss  5.46 | ppl   234.06
| epoch   2 |  2400/ 6526 batches | lr 20.00 | ms/batch 39.43 | loss  5.44 | ppl   230.81
| epoch   2 |  2600/ 6526 batches | lr 20.00 | ms/batch 39.43 | loss  5.45 | ppl   233.73
| epoch   2 |  2800/ 6526 batches | lr 20.00 | ms/batch 39.41 | loss  5.49 | ppl   243.28
| epoch   2 |  3000/ 6526 batches | lr 20.00 | ms/batch 39.35 | loss  5.43 | ppl   227.46
| epoch   2 |  3200/ 6526 batches | lr 20.00 | ms/batch 39.44 | loss  5.45 | ppl   232.21
| epoch   2 |  3400/ 6526 batches | lr 20.00 | ms/batch 39.34 | loss  5.54 | ppl   253.52
| epoch   2 |  3600/ 6526 batches | lr 20.00 | ms/batch 39.37 | loss  5.42 | ppl   226.57
| epoch   2 |  3800/ 6526 batches | lr 20.00 | ms/batch 39.51 | loss  5.39 | ppl   218.14
| epoch   2 |  4000/ 6526 batches | lr 20.00 | ms/batch 39.41 | loss  5.42 | ppl   224.76
| epoch   2 |  4200/ 6526 batches | lr 20.00 | ms/batch 39.45 | loss  5.40 | ppl   220.83
| epoch   2 |  4400/ 6526 batches | lr 20.00 | ms/batch 39.53 | loss  5.37 | ppl   214.37
| epoch   2 |  4600/ 6526 batches | lr 20.00 | ms/batch 39.71 | loss  5.33 | ppl   206.31
| epoch   2 |  4800/ 6526 batches | lr 20.00 | ms/batch 39.54 | loss  5.27 | ppl   193.72
| epoch   2 |  5000/ 6526 batches | lr 20.00 | ms/batch 39.75 | loss  5.26 | ppl   192.97
| epoch   2 |  5200/ 6526 batches | lr 20.00 | ms/batch 39.48 | loss  5.36 | ppl   213.58
| epoch   2 |  5400/ 6526 batches | lr 20.00 | ms/batch 39.50 | loss  5.30 | ppl   200.78
| epoch   2 |  5600/ 6526 batches | lr 20.00 | ms/batch 39.58 | loss  5.34 | ppl   208.51
| epoch   2 |  5800/ 6526 batches | lr 20.00 | ms/batch 39.43 | loss  5.37 | ppl   214.34
| epoch   2 |  6000/ 6526 batches | lr 20.00 | ms/batch 39.75 | loss  5.21 | ppl   182.42
| epoch   2 |  6200/ 6526 batches | lr 20.00 | ms/batch 39.69 | loss  5.23 | ppl   186.71
| epoch   2 |  6400/ 6526 batches | lr 20.00 | ms/batch 39.77 | loss  5.18 | ppl   177.47
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 266.09s | valid loss  5.39 | valid ppl   218.45
-----------------------------------------------------------------------------------------
| epoch   3 |   200/ 6526 batches | lr 20.00 | ms/batch 39.80 | loss  5.28 | ppl   195.43
