python /home/drr342/dl/assignments/hw3/examples/word_language_model/main.py --data /home/drr342/dl/assignments/hw3/examples/word_language_model/data/wikitext-2 --save /home/drr342/dl/assignments/hw3/models/GRU'_'100'_'1'_'16.pt --cuda --model GRU --epochs 10 --emsize 100 --nlayers 1 --bptt 16

/home/drr342/pyenv/py3.6.3/lib/python3.6/site-packages/torch/nn/modules/rnn.py:46: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.2 and num_layers=1
  "num_layers={}".format(dropout, num_layers))
| epoch   1 |   200/ 6526 batches | lr 20.00 | ms/batch 21.92 | loss  8.03 | ppl  3073.46
| epoch   1 |   400/ 6526 batches | lr 20.00 | ms/batch 20.96 | loss  6.79 | ppl   891.40
| epoch   1 |   600/ 6526 batches | lr 20.00 | ms/batch 20.96 | loss  6.44 | ppl   625.50
| epoch   1 |   800/ 6526 batches | lr 20.00 | ms/batch 20.97 | loss  6.30 | ppl   543.96
| epoch   1 |  1000/ 6526 batches | lr 20.00 | ms/batch 20.96 | loss  6.15 | ppl   471.02
| epoch   1 |  1200/ 6526 batches | lr 20.00 | ms/batch 20.96 | loss  6.06 | ppl   430.13
| epoch   1 |  1400/ 6526 batches | lr 20.00 | ms/batch 21.03 | loss  5.88 | ppl   359.17
| epoch   1 |  1600/ 6526 batches | lr 20.00 | ms/batch 21.06 | loss  5.89 | ppl   362.26
| epoch   1 |  1800/ 6526 batches | lr 20.00 | ms/batch 21.07 | loss  5.91 | ppl   368.81
| epoch   1 |  2000/ 6526 batches | lr 20.00 | ms/batch 21.10 | loss  5.86 | ppl   351.95
| epoch   1 |  2200/ 6526 batches | lr 20.00 | ms/batch 21.09 | loss  5.84 | ppl   345.20
| epoch   1 |  2400/ 6526 batches | lr 20.00 | ms/batch 21.08 | loss  5.82 | ppl   336.36
| epoch   1 |  2600/ 6526 batches | lr 20.00 | ms/batch 21.13 | loss  5.82 | ppl   337.52
| epoch   1 |  2800/ 6526 batches | lr 20.00 | ms/batch 21.11 | loss  5.84 | ppl   344.09
| epoch   1 |  3000/ 6526 batches | lr 20.00 | ms/batch 21.13 | loss  5.79 | ppl   327.30
| epoch   1 |  3200/ 6526 batches | lr 20.00 | ms/batch 21.11 | loss  5.78 | ppl   323.85
| epoch   1 |  3400/ 6526 batches | lr 20.00 | ms/batch 21.12 | loss  5.88 | ppl   357.09
| epoch   1 |  3600/ 6526 batches | lr 20.00 | ms/batch 21.13 | loss  5.77 | ppl   319.69
| epoch   1 |  3800/ 6526 batches | lr 20.00 | ms/batch 21.18 | loss  5.71 | ppl   301.66
| epoch   1 |  4000/ 6526 batches | lr 20.00 | ms/batch 21.17 | loss  5.74 | ppl   312.22
| epoch   1 |  4200/ 6526 batches | lr 20.00 | ms/batch 21.19 | loss  5.73 | ppl   308.48
| epoch   1 |  4400/ 6526 batches | lr 20.00 | ms/batch 21.14 | loss  5.70 | ppl   300.09
| epoch   1 |  4600/ 6526 batches | lr 20.00 | ms/batch 21.19 | loss  5.69 | ppl   295.09
| epoch   1 |  4800/ 6526 batches | lr 20.00 | ms/batch 21.17 | loss  5.60 | ppl   270.73
| epoch   1 |  5000/ 6526 batches | lr 20.00 | ms/batch 21.21 | loss  5.62 | ppl   275.81
| epoch   1 |  5200/ 6526 batches | lr 20.00 | ms/batch 21.22 | loss  5.72 | ppl   306.36
| epoch   1 |  5400/ 6526 batches | lr 20.00 | ms/batch 21.20 | loss  5.66 | ppl   288.24
| epoch   1 |  5600/ 6526 batches | lr 20.00 | ms/batch 21.21 | loss  5.70 | ppl   297.54
| epoch   1 |  5800/ 6526 batches | lr 20.00 | ms/batch 21.21 | loss  5.73 | ppl   309.35
| epoch   1 |  6000/ 6526 batches | lr 20.00 | ms/batch 21.23 | loss  5.58 | ppl   264.19
| epoch   1 |  6200/ 6526 batches | lr 20.00 | ms/batch 21.26 | loss  5.62 | ppl   275.39
| epoch   1 |  6400/ 6526 batches | lr 20.00 | ms/batch 21.27 | loss  5.60 | ppl   270.91
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 143.71s | valid loss  5.60 | valid ppl   270.99
-----------------------------------------------------------------------------------------
| epoch   2 |   200/ 6526 batches | lr 20.00 | ms/batch 20.61 | loss  5.64 | ppl   282.08
| epoch   2 |   400/ 6526 batches | lr 20.00 | ms/batch 20.63 | loss  5.64 | ppl   281.43
| epoch   2 |   600/ 6526 batches | lr 20.00 | ms/batch 20.53 | loss  5.59 | ppl   268.05
| epoch   2 |   800/ 6526 batches | lr 20.00 | ms/batch 20.55 | loss  5.68 | ppl   293.52
| epoch   2 |  1000/ 6526 batches | lr 20.00 | ms/batch 20.50 | loss  5.56 | ppl   260.73
| epoch   2 |  1200/ 6526 batches | lr 20.00 | ms/batch 20.55 | loss  5.55 | ppl   255.98
| epoch   2 |  1400/ 6526 batches | lr 20.00 | ms/batch 20.53 | loss  5.45 | ppl   231.60
| epoch   2 |  1600/ 6526 batches | lr 20.00 | ms/batch 20.54 | loss  5.56 | ppl   258.76
