python /home/drr342/dl/assignments/hw3/examples/word_language_model/main.py --data /home/drr342/dl/assignments/hw3/examples/word_language_model/data/wikitext-2 --save /home/drr342/dl/assignments/hw3/models/GRU'_'200'_'2'_'16.pt --cuda --model GRU --epochs 10 --emsize 200 --nlayers 2 --bptt 16

| epoch   1 |   200/ 6526 batches | lr 20.00 | ms/batch 26.01 | loss  9.01 | ppl  8167.92
| epoch   1 |   400/ 6526 batches | lr 20.00 | ms/batch 25.56 | loss  7.23 | ppl  1381.51
| epoch   1 |   600/ 6526 batches | lr 20.00 | ms/batch 25.58 | loss  6.74 | ppl   842.73
| epoch   1 |   800/ 6526 batches | lr 20.00 | ms/batch 25.14 | loss  6.50 | ppl   667.54
| epoch   1 |  1000/ 6526 batches | lr 20.00 | ms/batch 25.11 | loss  6.33 | ppl   561.01
| epoch   1 |  1200/ 6526 batches | lr 20.00 | ms/batch 25.57 | loss  6.22 | ppl   503.10
| epoch   1 |  1400/ 6526 batches | lr 20.00 | ms/batch 25.11 | loss  6.05 | ppl   422.11
| epoch   1 |  1600/ 6526 batches | lr 20.00 | ms/batch 25.17 | loss  6.04 | ppl   421.26
| epoch   1 |  1800/ 6526 batches | lr 20.00 | ms/batch 25.12 | loss  6.06 | ppl   427.51
| epoch   1 |  2000/ 6526 batches | lr 20.00 | ms/batch 25.15 | loss  6.01 | ppl   408.47
| epoch   1 |  2200/ 6526 batches | lr 20.00 | ms/batch 25.14 | loss  5.99 | ppl   400.13
| epoch   1 |  2400/ 6526 batches | lr 20.00 | ms/batch 25.57 | loss  5.96 | ppl   386.96
| epoch   1 |  2600/ 6526 batches | lr 20.00 | ms/batch 25.63 | loss  5.97 | ppl   389.91
| epoch   1 |  2800/ 6526 batches | lr 20.00 | ms/batch 25.17 | loss  5.97 | ppl   391.74
| epoch   1 |  3000/ 6526 batches | lr 20.00 | ms/batch 25.62 | loss  5.93 | ppl   374.73
| epoch   1 |  3200/ 6526 batches | lr 20.00 | ms/batch 25.17 | loss  5.92 | ppl   371.55
| epoch   1 |  3400/ 6526 batches | lr 20.00 | ms/batch 25.58 | loss  6.01 | ppl   407.22
| epoch   1 |  3600/ 6526 batches | lr 20.00 | ms/batch 25.60 | loss  5.92 | ppl   373.94
| epoch   1 |  3800/ 6526 batches | lr 20.00 | ms/batch 26.00 | loss  5.86 | ppl   350.57
| epoch   1 |  4000/ 6526 batches | lr 20.00 | ms/batch 25.15 | loss  5.90 | ppl   364.95
| epoch   1 |  4200/ 6526 batches | lr 20.00 | ms/batch 25.60 | loss  5.90 | ppl   366.79
| epoch   1 |  4400/ 6526 batches | lr 20.00 | ms/batch 25.09 | loss  5.89 | ppl   359.65
| epoch   1 |  4600/ 6526 batches | lr 20.00 | ms/batch 25.15 | loss  5.90 | ppl   366.52
| epoch   1 |  4800/ 6526 batches | lr 20.00 | ms/batch 25.12 | loss  5.84 | ppl   345.39
| epoch   1 |  5000/ 6526 batches | lr 20.00 | ms/batch 26.08 | loss  5.91 | ppl   369.41
| epoch   1 |  5200/ 6526 batches | lr 20.00 | ms/batch 26.02 | loss  6.07 | ppl   432.80
| epoch   1 |  5400/ 6526 batches | lr 20.00 | ms/batch 25.14 | loss  6.12 | ppl   455.47
| epoch   1 |  5600/ 6526 batches | lr 20.00 | ms/batch 25.63 | loss  6.23 | ppl   506.62
| epoch   1 |  5800/ 6526 batches | lr 20.00 | ms/batch 25.16 | loss  6.29 | ppl   541.42
| epoch   1 |  6000/ 6526 batches | lr 20.00 | ms/batch 25.11 | loss  6.26 | ppl   523.03
| epoch   1 |  6200/ 6526 batches | lr 20.00 | ms/batch 25.57 | loss  6.26 | ppl   523.11
| epoch   1 |  6400/ 6526 batches | lr 20.00 | ms/batch 25.61 | loss  6.26 | ppl   522.57
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 172.45s | valid loss  6.04 | valid ppl   418.97
-----------------------------------------------------------------------------------------
| epoch   2 |   200/ 6526 batches | lr 20.00 | ms/batch 25.88 | loss  6.31 | ppl   552.58
| epoch   2 |   400/ 6526 batches | lr 20.00 | ms/batch 26.24 | loss  6.26 | ppl   523.95
| epoch   2 |   600/ 6526 batches | lr 20.00 | ms/batch 25.76 | loss  6.20 | ppl   493.88
| epoch   2 |   800/ 6526 batches | lr 20.00 | ms/batch 25.80 | loss  6.25 | ppl   519.23
| epoch   2 |  1000/ 6526 batches | lr 20.00 | ms/batch 25.77 | loss  6.17 | ppl   478.60
| epoch   2 |  1200/ 6526 batches | lr 20.00 | ms/batch 25.73 | loss  6.14 | ppl   461.93
| epoch   2 |  1400/ 6526 batches | lr 20.00 | ms/batch 25.72 | loss  6.03 | ppl   414.38
| epoch   2 |  1600/ 6526 batches | lr 20.00 | ms/batch 25.78 | loss  6.11 | ppl   450.01
| epoch   2 |  1800/ 6526 batches | lr 20.00 | ms/batch 25.77 | loss  6.15 | ppl   467.65
| epoch   2 |  2000/ 6526 batches | lr 20.00 | ms/batch 26.22 | loss  6.13 | ppl   458.57
| epoch   2 |  2200/ 6526 batches | lr 20.00 | ms/batch 26.20 | loss  6.11 | ppl   448.33
| epoch   2 |  2400/ 6526 batches | lr 20.00 | ms/batch 26.62 | loss  6.15 | ppl   468.44
| epoch   2 |  2600/ 6526 batches | lr 20.00 | ms/batch 26.25 | loss  6.13 | ppl   460.44
| epoch   2 |  2800/ 6526 batches | lr 20.00 | ms/batch 26.23 | loss  6.18 | ppl   480.78
| epoch   2 |  3000/ 6526 batches | lr 20.00 | ms/batch 25.79 | loss  6.13 | ppl   461.69
| epoch   2 |  3200/ 6526 batches | lr 20.00 | ms/batch 25.83 | loss  6.12 | ppl   454.08
| epoch   2 |  3400/ 6526 batches | lr 20.00 | ms/batch 26.25 | loss  6.24 | ppl   513.66
| epoch   2 |  3600/ 6526 batches | lr 20.00 | ms/batch 25.79 | loss  6.17 | ppl   480.50
| epoch   2 |  3800/ 6526 batches | lr 20.00 | ms/batch 25.75 | loss  6.10 | ppl   445.28
| epoch   2 |  4000/ 6526 batches | lr 20.00 | ms/batch 26.21 | loss  6.12 | ppl   455.10
| epoch   2 |  4200/ 6526 batches | lr 20.00 | ms/batch 25.79 | loss  6.19 | ppl   488.21
| epoch   2 |  4400/ 6526 batches | lr 20.00 | ms/batch 26.17 | loss  6.12 | ppl   456.50
| epoch   2 |  4600/ 6526 batches | lr 20.00 | ms/batch 25.80 | loss  6.14 | ppl   465.96
| epoch   2 |  4800/ 6526 batches | lr 20.00 | ms/batch 26.20 | loss  6.07 | ppl   431.39
| epoch   2 |  5000/ 6526 batches | lr 20.00 | ms/batch 26.21 | loss  6.08 | ppl   438.05
| epoch   2 |  5200/ 6526 batches | lr 20.00 | ms/batch 26.21 | loss  6.17 | ppl   478.23
| epoch   2 |  5400/ 6526 batches | lr 20.00 | ms/batch 25.81 | loss  6.17 | ppl   479.90
| epoch   2 |  5600/ 6526 batches | lr 20.00 | ms/batch 25.80 | loss  6.19 | ppl   488.32
| epoch   2 |  5800/ 6526 batches | lr 20.00 | ms/batch 25.80 | loss  6.21 | ppl   496.45
| epoch   2 |  6000/ 6526 batches | lr 20.00 | ms/batch 25.80 | loss  6.13 | ppl   460.70
| epoch   2 |  6200/ 6526 batches | lr 20.00 | ms/batch 26.48 | loss  6.14 | ppl   461.78
| epoch   2 |  6400/ 6526 batches | lr 20.00 | ms/batch 26.03 | loss  6.11 | ppl   452.48
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 176.19s | valid loss  6.06 | valid ppl   427.37
-----------------------------------------------------------------------------------------
| epoch   3 |   200/ 6526 batches | lr 5.00 | ms/batch 26.11 | loss  6.17 | ppl   476.39
| epoch   3 |   400/ 6526 batches | lr 5.00 | ms/batch 26.03 | loss  6.11 | ppl   448.96
| epoch   3 |   600/ 6526 batches | lr 5.00 | ms/batch 26.01 | loss  6.08 | ppl   437.88
| epoch   3 |   800/ 6526 batches | lr 5.00 | ms/batch 25.96 | loss  6.12 | ppl   453.49
| epoch   3 |  1000/ 6526 batches | lr 5.00 | ms/batch 26.00 | loss  6.00 | ppl   404.65
| epoch   3 |  1200/ 6526 batches | lr 5.00 | ms/batch 26.03 | loss  5.98 | ppl   396.73
| epoch   3 |  1400/ 6526 batches | lr 5.00 | ms/batch 25.95 | loss  5.89 | ppl   360.74
| epoch   3 |  1600/ 6526 batches | lr 5.00 | ms/batch 26.02 | loss  5.96 | ppl   387.39
| epoch   3 |  1800/ 6526 batches | lr 5.00 | ms/batch 26.01 | loss  6.00 | ppl   401.71
| epoch   3 |  2000/ 6526 batches | lr 5.00 | ms/batch 25.97 | loss  5.95 | ppl   383.85
| epoch   3 |  2200/ 6526 batches | lr 5.00 | ms/batch 25.96 | loss  5.91 | ppl   368.36
| epoch   3 |  2400/ 6526 batches | lr 5.00 | ms/batch 25.97 | loss  5.90 | ppl   366.77
| epoch   3 |  2600/ 6526 batches | lr 5.00 | ms/batch 25.97 | loss  5.91 | ppl   368.96
| epoch   3 |  2800/ 6526 batches | lr 5.00 | ms/batch 25.99 | loss  5.96 | ppl   385.77
| epoch   3 |  3000/ 6526 batches | lr 5.00 | ms/batch 25.98 | loss  5.88 | ppl   358.03
| epoch   3 |  3200/ 6526 batches | lr 5.00 | ms/batch 25.99 | loss  5.87 | ppl   353.74
| epoch   3 |  3400/ 6526 batches | lr 5.00 | ms/batch 26.40 | loss  5.95 | ppl   383.34
