python /home/drr342/dl/assignments/hw3/examples/word_language_model/main.py --data /home/drr342/dl/assignments/hw3/examples/word_language_model/data/wikitext-2 --save /home/drr342/dl/assignments/hw3/models/GRU'_'400'_'4'_'16.pt --cuda --model GRU --epochs 10 --emsize 400 --nlayers 4 --bptt 16

| epoch   1 |   200/ 6526 batches | lr 20.00 | ms/batch 38.24 | loss 14.67 | ppl 2346789.00
| epoch   1 |   400/ 6526 batches | lr 20.00 | ms/batch 37.18 | loss 16.94 | ppl 22687718.89
| epoch   1 |   600/ 6526 batches | lr 20.00 | ms/batch 37.15 | loss 17.41 | ppl 36417384.41
| epoch   1 |   800/ 6526 batches | lr 20.00 | ms/batch 37.14 | loss 17.88 | ppl 58150384.98
| epoch   1 |  1000/ 6526 batches | lr 20.00 | ms/batch 37.21 | loss 18.02 | ppl 67198230.45
| epoch   1 |  1200/ 6526 batches | lr 20.00 | ms/batch 37.15 | loss 17.63 | ppl 45129699.24
| epoch   1 |  1400/ 6526 batches | lr 20.00 | ms/batch 37.19 | loss 17.30 | ppl 32629870.41
| epoch   1 |  1600/ 6526 batches | lr 20.00 | ms/batch 37.20 | loss 17.02 | ppl 24697260.34
| epoch   1 |  1800/ 6526 batches | lr 20.00 | ms/batch 37.23 | loss 17.79 | ppl 53278556.59
| epoch   1 |  2000/ 6526 batches | lr 20.00 | ms/batch 37.23 | loss 17.60 | ppl 43973237.50
| epoch   1 |  2200/ 6526 batches | lr 20.00 | ms/batch 37.22 | loss 17.17 | ppl 28505723.34
| epoch   1 |  2400/ 6526 batches | lr 20.00 | ms/batch 37.26 | loss 16.83 | ppl 20446448.43
| epoch   1 |  2600/ 6526 batches | lr 20.00 | ms/batch 37.24 | loss 17.83 | ppl 55148272.49
| epoch   1 |  2800/ 6526 batches | lr 20.00 | ms/batch 37.23 | loss 17.74 | ppl 50658256.84
| epoch   1 |  3000/ 6526 batches | lr 20.00 | ms/batch 37.23 | loss 17.68 | ppl 47763624.17
| epoch   1 |  3200/ 6526 batches | lr 20.00 | ms/batch 37.24 | loss 17.70 | ppl 48634821.11
| epoch   1 |  3400/ 6526 batches | lr 20.00 | ms/batch 37.23 | loss 17.90 | ppl 59191159.10
